"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value","Flag and Footnotes"
"1999Q3","Latvia","Chain linked volumes, index 2010=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","65.6",""
"1999Q3","Latvia","Chain linked volumes, index 2010=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries",":",""
"1999Q3","Latvia","Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q3","Latvia","Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q3","Latvia","Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices","65.5",""
"1999Q3","Latvia","Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
"1999Q3","Latvia","Chain linked volumes, index 2010=100","Seasonally and calendar adjusted data","Gross domestic product at market prices","65.6",""
"1999Q3","Latvia","Chain linked volumes, index 2010=100","Seasonally and calendar adjusted data","Wages and salaries",":",""
"1999Q3","Lithuania","Current prices, million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","2,715.1",""
"1999Q3","Lithuania","Current prices, million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries","875.2",""
"1999Q3","Lithuania","Current prices, million euro","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q3","Lithuania","Current prices, million euro","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q3","Lithuania","Current prices, million euro","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices","2,712.8",""
"1999Q3","Lithuania","Current prices, million euro","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
"1999Q3","Lithuania","Current prices, million euro","Seasonally and calendar adjusted data","Gross domestic product at market prices","2,602.6",""
"1999Q3","Lithuania","Current prices, million euro","Seasonally and calendar adjusted data","Wages and salaries","878.7",""
"1999Q3","Lithuania","Chain linked volumes (2010), million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","4,759.3",""
"1999Q3","Lithuania","Chain linked volumes (2010), million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries",":",""
"1999Q3","Lithuania","Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q3","Lithuania","Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q3","Lithuania","Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices","4,749.0",""
"1999Q3","Lithuania","Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
"1999Q3","Lithuania","Chain linked volumes (2010), million euro","Seasonally and calendar adjusted data","Gross domestic product at market prices","4,372.5",""
"1999Q3","Lithuania","Chain linked volumes (2010), million euro","Seasonally and calendar adjusted data","Wages and salaries",":",""
"1999Q3","Lithuania","Chain linked volumes, index 2010=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","67.9",""
"1999Q3","Lithuania","Chain linked volumes, index 2010=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries",":",""
"1999Q3","Lithuania","Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q3","Lithuania","Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q3","Lithuania","Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices","67.8",""
"1999Q3","Lithuania","Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
