Date,OMXV Value,OMXV Change (%),OMXV Daily Change (%),OMX raw,2,,,1,
"26,11,2000",95.07,-4.93,0,2000-11-26,11,2000,5234.36,57,
"27,11,2000",95.23,-4.77,0.17,2000-11-27,11,2000,5329.59,58,
"28,11,2000",95.53,-4.47,0.32,2000-11-28,11,2000,5425.12,59,
"29,11,2000",94.89,-5.11,-0.67,2000-11-29,11,2000,5520.01,60,
"30,11,2000",94.93,-5.07,0.04,2000-11-30,11,2000,5614.94,61,
"01,12,2000",94.73,-5.27,-0.21,2000-12-01,12,2000,5709.67,62,
"02,12,2000",94.73,-5.27,0,2000-12-02,12,2000,5804.4,63,
"03,12,2000",94.73,-5.27,0,2000-12-03,12,2000,5899.13,64,
"04,12,2000",85.53,-14.47,-9.71,2000-12-04,12,2000,5984.66,65,
"05,12,2000",86.4,-13.6,1.02,2000-12-05,12,2000,6071.06,66,
"06,12,2000",87.29,-12.71,1.03,2000-12-06,12,2000,6158.35,67,
